Paige           ???
statement       陈述
ep 1            第一集
Germany         德国
Philippines     菲律宾
Kenya           肯尼亚
readers         读者
Jean Schmidt    让·施密特
born            出生
Geneva          日内瓦
Switzerland     瑞士
Massachusetts   马萨诸塞州
occupation      职业
Indian          印度人
India           印度
German          德国人
French          法国人
polish          波兰人
Swiss           瑞士人
United States   美国（正式）
America         美国（日常）
fathers         父亲们
mothers         母亲们
sailed          航行
sailing         航行
ships           船
steamships      轮船
most            大部分
population      人口
Canada          加拿大
greater         更大
populations     人口
increase        增加
increased       增加
represents      代表
graph           图表
lets            ？？？
states          状态
scale           比例尺
smaller         较小
Indonesia       印度尼西亚
amount          数量
billion         十亿
changing        改变
twice           两次
curve           曲线
could           可以
century         世纪
hard            难
twenty          二十
Salle           大厅
Seoul           首尔
Bombay          孟买
Osaka           大板
Tehran          德黑兰
Iran            伊朗
Rio de Janeiro  里约热内卢
Calcutta        加尔各答
Sade's          ？？？
Argentina       阿根廷
Manila          马尼拉
Jakarta         雅加达
Lagos           拉各斯
Nigeria         尼日利亚
Cairo           开罗
Egypt           埃及
Delhi           德里
Karachi         卡拉奇
Pakistan        巴基斯坦
machines        机器
factories       工厂
factory         工厂
furniture       家具
peach           桃
materials       材料
iron            铁
mined           开采的
steel           钢
metals          金属
supply          供应
being           存在
families        家庭
roof            屋顶
floors          楼层
floor           楼层
stores          商店
supplies        补给品
quarts          夸脱 液体单位
persons         人（复数）
married         已婚
measured        测量的
gallons         加仑
pint            品脱
quart           夸脱
cartons         纸箱
liters          升
cans            罐头
canned          罐头的
canning         罐头
gone            消失了
poison          毒
poisons         毒药
dies            死了
dead            死的
shelves         货架
liquid          液体
cooker          炊具
meals           膳食
flies           苍蝇
supplied        提供的
uncovered       裸露
stored          已存储
grain           粮食
feed            喂养
miles           英里
seen            见过
taught          教过的
energy          活力
Kazon           卡松
vitamins        维生素
letters         字母
alphabet        字母
vitamin         维他命
loose           松动的
weak            虚弱的
alive           活
scientists      科学家们
putting         推杆
amounts         金额
leaves          树叶
puts            放下
roots           根
wheat           小麦
corn            玉米
grains          谷物
lands           土地
planted         种植的
grasslands      草原
plants          植物
uncooked        生的
flour           面粉
chief           首席
farmers         农民
eastern         东
eaten           吃过
everybody       大家
worse           更差
happier         更快乐
another's       另一个人的
around          大约
angles          角度
triangle        三角形
minds           头脑
increasingly    日益
bent            弯曲
upside          好处
Atlantic        大西洋
Pacific         太平洋
wires           电线
powers          权力
while           尽管
standing        常设
foreign         外国的
baskets         篮子
once            一次
carries         携带
wherever        无论在哪里
insects         昆虫
carried         携带的
telescope       望远镜
microscope      显微镜
statements      声明
earlier         早些时候
whether         无论
instruments     仪器
worst           最糟糕的
wings           翅膀
feathers        羽毛
stems           茎
wing            翅膀
hollow          空洞的
beetle          甲虫
beetles         甲虫
attempting      尝试
machine         机器
weights         重量
newest          最新
bridged         桥接的
mile            英里
automobiles     汽车
mines           地雷
present         展示
wrote           写道
records         记录
thoughts        想法
desires         欲望
mean            意思是
meaning         意义
Smiths          史密斯斯
Wong's          黄氏
wives           妻子们
husbands        丈夫们
saw             锯
meant           意思是
commonly        通常
think           思考
done            完毕
Mandarin        普通话
Cantonese       广东话
Hindi           印地语
Russian         俄语
Spanish         西班牙语
Portuguese      葡萄牙语
Arabic          阿拉伯
Bengali         孟加拉
ever            曾经
attempt         试图
recordings      录音
sentences       句子
discs           光盘
tapes           磁带
meanings        含义
motion          运动
learners        学习者
learner         学习者
newer           较新的
invention       发明
Mesopotamia     美索不达米亚
Palestine       巴勒斯坦
marks           分数
sticks          棍子
sharp           锋利的
stones          石头
represent       代表
Egyptian        埃及人
present-day     今天
reader          读者
humanity        人性
harder          更难
inward          向内的
spell           拼写
written         书面
spelling        拼写
hardest         最难的
complete        完全的
Roman           罗马
Italian         意大利语
given           给定
spelled         斯佩尔特
Ian             伊恩
Bell            钟
upon            之上
unlike          不像
felt            毛毡
well-trained    训练有素的
Englishman      英国人
American        美国人
nearest         最近的
mother          母亲
spaces          空间
sentence        句子
seem            似乎
easily          容易地
grown-ups       大人
Finland         芬兰
whose           谁的
Finnish         芬兰
fixed           固定的
rails           导轨
freer           自由者
direction       方向
works           作品
necessary       必要的
lungs           肺
sponges         海绵
lung            肺
upper           上
chest           胸部
round           圆形的
journey         旅行
pints           品脱
waste           浪费
cells           细胞
cell            细胞
flames          火焰
flame           火焰
lighter         打火机
burns           烧伤
burn            烧伤
fires           火灾
fuel            燃料
stream          溪流
bloodstream     血流
oxygen          氧
changes         变化
completely      完全地
pump            泵
letting         出租
pumping         泵送
pumps           泵
valves          阀门
muscle          肌肉
arteries        动脉
veins           静脉
artery          动脉
vein            静脉
althrough       始终
William         威廉
Harvey          哈维
circulation     循环
opposite        对面的
toes            脚趾
muscles         肌肉
burning         燃烧
ashes           骨灰
coal            煤炭
unite           团结
fuels           燃料
burned          烧毁
carbon          碳
dioxide         二氧化碳
deeply          深
awake           苏醒
conscious       有意识的
automatic       自动的
rate            速度
thumb           拇指
wise            明智的
unconscious     无意识
pressure        压力
weight          重量
above           多于
thinner         更薄
instrument      乐器
measure         措施
barometer       晴雨表
Everest         珠穆朗玛峰
below           以下
shutting        关闭
valve           阀门
breathes        呼吸
pumped          泵送的
candle          蜡烛
lighted         点燃的
automatically   自动地
controlled      受控
temperature     温度
warm-blooded    热血的
degrees         度
Fahrenheit      华氏度
ill             患病的
thermometer     温度计
patient's       患者
shivers         发抖
motions         动议
shivering       发抖
heating         加热
warmly          热烈地
wet             湿的
cools           冷却
thirsty         渴
training        训练
shortest        最短
possible        可能的
pulse           脉冲
wrist           手腕
pulsing         脉动的
scientist       科学家
Galileo         伽利略
measuring       测量
clocks          钟表
hanging         绞刑
chain           链
forward         向前
seemed          似乎
turns           轮流
however         然而
timed           定时的
proof           证明
prove           证明
pendulum        摆
among           之中
per             每
slowly          慢慢地
communist       共产
worker          工人
piece           片
rates           费率
exchange        交换
cents           美分
printed         打印
both            两个都
Ocean           海洋
timekeeper      计时员
